begin,open,close,high,low,value,volume
2024-11-06 00:00:00,247.0,243.6,248.56,242.05,19402189406.5,78965200
2024-11-07 00:00:00,243.26,250.93,251.0,242.16,10948449973.3,44425190
2024-11-08 00:00:00,251.5,255.98,255.99,250.5,14677974806.8,58086370
2024-11-11 00:00:00,257.99,260.73,261.3,256.49,17578684699.6,67847940
2024-11-12 00:00:00,259.99,255.77,260.7,255.27,10539814448.5,40926850
2024-11-13 00:00:00,255.29,254.7,258.96,254.05,11439153914.4,44540020
2024-11-14 00:00:00,254.26,249.52,255.92,248.6,12366776262.5,49011750
2024-11-15 00:00:00,249.31,253.43,254.43,248.05,11113484983.2,44201700
2024-11-18 00:00:00,249.0,248.72,251.94,247.3,12859671851.2,51559910
2024-11-19 00:00:00,249.03,240.59,249.83,239.62,18395321114.9,75474680
2024-11-20 00:00:00,241.82,237.05,243.59,234.74,16837071934.3,70349830
2024-11-21 00:00:00,237.15,240.47,240.94,234.0,17757313155.9,75143570
2024-11-22 00:00:00,240.5,236.0,241.0,234.78,10836393146.5,45621420
2024-11-25 00:00:00,236.0,227.81,237.1,227.25,17727272699.1,76469770
2024-11-26 00:00:00,227.8,223.16,231.9,221.2,21854770442.0,96795030
2024-11-27 00:00:00,223.9,226.3,226.47,219.2,25043210046.8,112457620
2024-11-28 00:00:00,227.0,228.56,229.5,222.48,15359712601.0,67840700
2024-11-29 00:00:00,228.48,236.49,236.99,227.55,16387603634.6,70303900
2024-12-02 00:00:00,237.02,235.17,238.7,234.32,10677792835.0,45142250
2024-12-03 00:00:00,235.29,230.8,235.97,230.26,10536715774.0,45322870
2024-12-04 00:00:00,231.0,224.55,233.79,224.3,16617122007.6,72417390
2024-12-05 00:00:00,224.57,233.48,233.75,222.82,19851593351.8,86989140
2024-12-06 00:00:00,233.63,237.84,238.25,231.52,19088098358.7,81096070
2024-12-09 00:00:00,239.29,237.29,240.51,236.75,12526394065.3,52493640
2024-12-10 00:00:00,238.0,230.82,238.01,230.65,13710391986.5,58740230
2024-12-11 00:00:00,230.5,234.19,234.39,229.22,15026987712.0,64914300
2024-12-12 00:00:00,234.0,229.02,235.95,228.52,13748238586.9,59171170
2024-12-13 00:00:00,228.9,228.7,231.33,227.85,10570497704.4,46124660
2024-12-16 00:00:00,228.62,225.53,229.05,224.38,12350005599.1,54593280
2024-12-17 00:00:00,225.6,226.5,227.49,223.72,10353636763.7,45885470
2024-12-18 00:00:00,226.72,230.15,230.8,224.33,13200949659.8,58056480
2024-12-19 00:00:00,230.16,229.0,234.99,227.71,28715332741.6,124061370
2024-12-20 00:00:00,229.1,257.6,258.98,228.03,58117516791.8,235186220
